AS400,,,,BI,,,,,,,
91845.6,22436CCD,,,91845.6,22436CCD,,0.00,,,,
16592,22439PNA,,,16592,22439PNA,,0.00,,,,
17936,22444PNA,,,17936,22444PNA,,0.00,,,,
608,22456PNA,,,608,22456PNA,,0.00,,,,
608,22461PNA,,,608,22461PNA,,0.00,,,,
4251.36,22482SON,,,4251.36,22482SON,,0.00,,,,
121100,22497TAC,,,121100,22497TAC,,0.00,,,,
448,22511PNA,,,448,22511PNA,,0.00,,,,
39150,22512TXR,,,39150,22512TXR,,0.00,,,,
2738.8,22547SON,,,2738.8,22547SON,,0.00,,,,
2313,22574JIB,,,2313,22574JIB,,0.00,,,,
59184,22576WHA,,,59184,22576WHA,,0.00,,,,
342,22589JIB,,,342,22589JIB,,0.00,,,,
558.93,22590SON,,,558.93,22590SON,,0.00,,,,
525,40013MFY,,,525,40013MFY,,0.00,,,,
23450,40025MFY,,,23450,40025MFY,,0.00,,,,
161000,45531BEF,,,161000,45531BEF,,0.00,,,,
2564555,45531CHP,,,2564555,45531CHP,,0.00,,,,
52500,45531CRH,,,52500,45531CRH,,0.00,,,,
914375,45531GFG,,,914375,45531GFG,,0.00,,,,
233100,45531OPR,,,233100,45531OPR,,0.00,,,,
1695750,45531SON,,,1695750,45531SON,,0.00,,,,
1026200,45531TXR,,,1026200,45531TXR,,0.00,,,,
662900,45531UBA,,,662900,45531UBA,,0.00,,,,
662060,45532BNK,,,662060,45532BNK,,0.00,,,,
361655,45532CHP,,,361655,45532CHP,,0.00,,,,
4795,45610CHP,,,4795,45610CHP,,0.00,,,,
126000,45635BEF,,,126000,45635BEF,,0.00,,,,
40180,45635CHP,,,40180,45635CHP,,0.00,,,,
15802.5,45812SAV,,,15802.5,45812SAV,,0.00,,,,
268.75,47277LND,,,268.75,47277LND,,0.00,,,,
11828.6,47434BAK,,,11828.6,47434BAK,,0.00,,,,
27832,47435BAK,,,27832,47435BAK,,0.00,,,,
29820,47455BAK,,,29820,47455BAK,,0.00,,,,
2813,47495BAK,,,2813,47495BAK,,0.00,,,,
2211.84,52007CHP,,,2211.84,52007CHP,,0.00,,,,
61608.96,54107CHP,,,61608.96,54107CHP,,0.00,,,,
20160,54110BNK,,,20160,54110BNK,,0.00,,,,
14420,54110CHP,,,14420,54110CHP,,0.00,,,,
108430,54135CHP,,,108430,54135CHP,,0.00,,,,
163800,54135CIC,,,163800,54135CIC,,0.00,,,,
106680,54135GFG,,,106680,54135GFG,,0.00,,,,
749700,54135LIT,,,749700,54135LIT,,0.00,,,,
1308300,54135PAD,,,1308300,54135PAD,,0.00,,,,
1553230,54135PFC,,,1553230,54135PFC,,0.00,,,,
201600,54135TXR,,,201600,54135TXR,,0.00,,,,
52346.88,56606CHP,,,52346.88,56606CHP,,0.00,,,,
19110,58500CHP,,,19110,58500CHP,,0.00,,,,
5137.92,58501CHP,,,5137.92,58501CHP,,0.00,,,,
366100,58505CCF,,,366100,58505CCF,,0.00,,,,
11585,58505CHP,,,11585,58505CHP,,0.00,,,,
19958.4,71008VEN,,,19958.4,71008VEN,,0.00,,,,
25032,71264VEN,,,25032,71264VEN,,0.00,,,,
